row_number,word,meaning,gold,level,chunk1,chunk1_meaning,chunk2,chunk2_meaning,chunk3,chunk3_meaning,definition,definition_meaning,status,note,checked_at
254,ambitious,遠大、野心的、意欲的,8,B2,,,,,,,,,pending,ambitious adj.,
255,ambivalent,アンビバレント,32,C2,,,,,,,,,pending,ambivalent (adj),
256,ambrosial,非常においしい、芳香のある,32,C2,,,,,,,,,pending,ambrosial (adj),
257,ambulance,救急車、救急自動車、８ナンバー,8,B2,,,,,,,,,pending,ambulance n.,
258,ameliorate,改善する,32,C2,,,,,,,,,pending,ameliorate (v),
259,amenable,従順な、応じやすい,32,C2,,,,,,,,,pending,amenable (adj),
260,amend,正す、変える、アメンド,16,C1,,,,,,,,,pending,amend v.,
261,amendment,改正、改正案、修正,16,C1,,,,,,,,,pending,amendment n.,
262,amid,中,16,C1,,,,,,,,,pending,amid prep.,
263,among,間、中、中には,2,A2,,,,,,,,,pending,among prep.,
264,amount,位、価額、加減,2,A2,,,,,,,,,pending,amount n.,
265,amount,位、程度、分量,8,B2,,,,,,,,,pending,amount v.,
266,amusing,可笑しい、面白い、愉快,8,B2,,,,,,,,,pending,amusing adj.,
267,an,1つの,1,A1,,,,,,,,,pending,,
268,anachronism,時代錯誤、アナクロ、アナクロニズム,32,C2,,,,,,,,,pending,anachronism (n),
269,anachronistic,大時代,32,C2,,,,,,,,,pending,anachronistic (adj),
270,analogous,類似した,32,C2,,,,,,,,,pending,analogous (adj),
271,analogy,相似、類似、類推,16,C1,,,,,,,,,pending,analogy n.,
272,analysis,解析、解剖、検討,4,B1,,,,,,,,,pending,analysis n.,
273,analyst,分析者、分析官、アナリスト,8,B2,,,,,,,,,pending,analyst n.,
274,analyze,見つめ直す、屠つ,2,A2,,,,,,,,,pending,analyze v.,
275,anarchy,無政府、無警察、乱麻,32,C2,,,,,,,,,pending,anarchy (n),
276,anathema,破門、嫌われ者、アナテマ,32,C2,,,,,,,,,pending,anathema (n),
277,ancestor,原種、親、先つ祖,8,B2,,,,,,,,,pending,ancestor n.,
278,anchor,岩、殿、錨,16,C1,,,,,,,,,pending,anchor n.,
279,ancient,古い、古来、積年,2,A2,,,,,,,,,pending,ancient adj.,
280,and,そして,1,A1,,,,,,,,,pending,and conj.,
281,anecdote,一つ話、一口話、逸事,32,C2,,,,,,,,,pending,anecdote (n),
282,angel,み使い、天の使い、天使,16,C1,,,,,,,,,pending,angel n.,
283,anger,公憤、むかっ腹、中っ腹,8,B2,,,,,,,,,pending,anger n.,
284,angle,角、角度、方面,8,B2,,,,,,,,,pending,angle n.,
285,angry,怒って,1,A1,,,,,,,,,pending,angry adj.,
286,anguish,苦しみ、苦渋、苦衷,32,C2,,,,,,,,,pending,anguish (n),
287,animal,獣、動物,1,A1,,,,,,,,,pending,animal n.,
288,animation,動画、生気、アニメ,8,B2,,,,,,,,,pending,animation n.,
289,animosity,悪感、敵意、反感,32,C2,,,,,,,,,pending,animosity (n),
290,ankle,足首、踝、足関節,2,A2,,,,,,,,,pending,ankle n.,
291,annihilation,壊滅、皆殺し、完敗,32,C2,,,,,,,,,pending,annihilation (n),
292,anniversary,記念日、年祭、記念祭,8,B2,,,,,,,,,pending,anniversary n.,
293,announce,言い渡す、告げる、取り次ぐ,4,B1,,,,,,,,,pending,announce v.,
294,announcement,案内、公布、広告,4,B1,,,,,,,,,pending,announcement n.,
295,annoy,逸らす、騒がす、煩わす,4,B1,,,,,,,,,pending,annoy v.,
296,annoyed,いらいらした、腹を立てた,4,B1,,,,,,,,,pending,annoyed adj.,
297,annoying,億劫、仕方がない、仕方ない,4,B1,,,,,,,,,pending,annoying adj.,
298,annual,一年生、一年草、年鑑,8,B2,,,,,,,,,pending,annual adj.,
299,annually,年ごとに、例年、年々,8,B2,,,,,,,,,pending,annually adv.,
300,annum,年,32,C2,,,,,,,,,pending,annum (n),
301,anomaly,変則、変調、不正常,32,C2,,,,,,,,,pending,anomaly (n),
302,anonymous,名もなき、作者未詳、覆面,16,C1,,,,,,,,,pending,anonymous adj.,
303,another,もう一つの、別の,1,A1,,,,,,,,,pending,another det./pron.,
304,answer,応える、答える,1,A1,,,,,,,,,pending,"answer n., v.",
305,antagonise,敵に回す、反感を買う,32,C2,,,,,,,,,pending,antagonise (v),
306,antecedent,前件、前項、先行詞,32,C2,,,,,,,,,pending,antecedent (n),
307,anticipate,見越す、見込む、見通す,8,B2,,,,,,,,,pending,anticipate v.,
308,antidote,解毒剤、解毒薬、毒消し,32,C2,,,,,,,,,pending,antidote (n),
309,antipathy,悪感、反感、毛嫌い,32,C2,,,,,,,,,pending,antipathy (n),
310,antiquated,旧弊、古い、古臭い,32,C2,,,,,,,,,pending,antiquated (adj),
311,antiquity,旧故、古、古雅,32,C2,,,,,,,,,pending,antiquity (n),
312,antithesis,対、対照、反,32,C2,,,,,,,,,pending,antithesis (n),
313,anxiety,気がかり、気苦労、恐れ,8,B2,,,,,,,,,pending,anxiety n.,
314,anxious,悩ましい、心もとない、悩ましげ,8,B2,,,,,,,,,pending,anxious adj.,
315,any,いくらかの、どんな〜でも,1,A1,,,,,,,,,pending,"any det., pron.",
316,any,いくらかの、どんな〜でも,2,A2,,,,,,,,,pending,any adv.,
317,anybody,誰でも、誰彼、此彼,2,A2,,,,,,,,,pending,anybody pron.,
318,anymore,もう、それ以上,2,A2,,,,,,,,,pending,anymore adv.,
319,anyone,誰でも,1,A1,,,,,,,,,pending,anyone pron.,
320,anything,何でも,1,A1,,,,,,,,,pending,anything pron.,
321,anyway,何しろ、何分、所詮,2,A2,,,,,,,,,pending,anyway adv.,
322,anywhere,何処でも、何処か、何処までも,2,A2,,,,,,,,,pending,"anywhere adv., pron.",
323,apart,別に、別々に、ビリビリ,4,B1,,,,,,,,,pending,apart adv.,
324,apartment,アパート,1,A1,,,,,,,,,pending,apartment n.,
325,apathetic,無関心、冷淡、無自覚,32,C2,,,,,,,,,pending,apathetic (adj),
326,aperture,開口、開口部、空隙,32,C2,,,,,,,,,pending,aperture (n),
327,apex,最高潮、先端、尖部,32,C2,,,,,,,,,pending,apex (n),
328,aplomb,落ち着き、自信,32,C2,,,,,,,,,pending,aplomb (n),
329,apologize,謝する、謝る、詫びる,4,B1,,,,,,,,,pending,apologize v.,
330,apology,謝罪、謝辞、申し訳,8,B2,,,,,,,,,pending,apology n.,
331,apostle,開祖、使徒、アポストロ,32,C2,,,,,,,,,pending,apostle (n),
332,app,アプリ,2,A2,,,,,,,,,pending,app n.,
333,apparatus,器具、機械、機器,16,C1,,,,,,,,,pending,apparatus n.,
334,apparatus,器具、機械、機器,32,C2,,,,,,,,,pending,apparatus (n),
335,apparel,衣料品、アパレル,16,C1,,,,,,,,,pending,apparel n.,
336,apparent,明白、一目瞭然、表面的,8,B2,,,,,,,,,pending,apparent adj.,
337,apparently,一見、表面上、どうやら,8,B2,,,,,,,,,pending,apparently adv.,
338,apparition,お化け、怨霊、怪異,32,C2,,,,,,,,,pending,apparition (n),
339,appeal,哀願、哀訴、運動,8,B2,,,,,,,,,pending,"appeal n., v.",
340,appealing,美味しい、美味ちい、哀願,16,C1,,,,,,,,,pending,appealing adj.,
341,appear,見える、現れる、思われる,2,A2,,,,,,,,,pending,appear v.,
342,appearance,仮相、看板、観,2,A2,,,,,,,,,pending,appearance n.,
343,appease,解く、静める、和める,32,C2,,,,,,,,,pending,appease (v),
344,appellation,名目、称呼,32,C2,,,,,,,,,pending,appellation (n),
345,appetite,意地、食い気、食欲,16,C1,,,,,,,,,pending,appetite n.,
346,applaud,褒め称える、褒め立てる、囃す,16,C1,,,,,,,,,pending,applaud v.,
347,apple,りんご,1,A1,,,,,,,,,pending,apple n.,
348,applicable,当該,16,C1,,,,,,,,,pending,applicable adj.,
349,applicant,応募者、希望者、候補者,8,B2,,,,,,,,,pending,applicant n.,
350,application,運用、応募、応用,4,B1,,,,,,,,,pending,application n.,
351,apply,引く、掛ける、凝らす,2,A2,,,,,,,,,pending,apply v.,
352,appoint,仰せ付ける、決める、取り立てる,16,C1,,,,,,,,,pending,appoint v.,
353,appointment,会う約束、起用、採用,4,B1,,,,,,,,,pending,appointment n.,
354,appreciate,哀れむ、愛でる、認める,4,B1,,,,,,,,,pending,appreciate v.,
355,appreciation,会得、観賞、鑑賞,16,C1,,,,,,,,,pending,appreciation n.,
356,apprehension,疑心、疑懼、逮捕,32,C2,,,,,,,,,pending,apprehension (n),
357,apprehensive,不安な、心配している,32,C2,,,,,,,,,pending,apprehensive (adj),
358,approach,寄り付く、寄る、近づく,8,B2,,,,,,,,,pending,"approach n., v.",
359,appropriate,応分、穏当、切実,8,B2,,,,,,,,,pending,appropriate adj.,
360,appropriately,適宜、然るべく、応分,8,B2,,,,,,,,,pending,appropriately adv.,
361,approval,可、可決、嘉賞,8,B2,,,,,,,,,pending,approval n.,
362,approve,許す、認める、可とする,8,B2,,,,,,,,,pending,approve v.,
363,approximately,前後、粗方、大体,4,B1,,,,,,,,,pending,approximately adv.,
364,April,４月,1,A1,,,,,,,,,pending,April n.,
365,aptitude,下地、筋、素質,32,C2,,,,,,,,,pending,aptitude (n),
366,arbiter,アービタ,32,C2,,,,,,,,,pending,arbiter (n),
367,arbitrary,一方的、任意、恣意的,16,C1,,,,,,,,,pending,arbitrary adj.,
368,arcane,難解な、不可解な,32,C2,,,,,,,,,pending,arcane (adj),
369,archetype,典型、元型、アーキタイプ,32,C2,,,,,,,,,pending,archetype (n),
370,archipelago,群島、諸島、多島海,32,C2,,,,,,,,,pending,archipelago (n),
371,architect,建設者、建築家、アーキテクト,2,A2,,,,,,,,,pending,architect n.,
372,architectural,アーキテクチャラル,16,C1,,,,,,,,,pending,architectural adj.,
373,architecture,結構、建築、構築,2,A2,,,,,,,,,pending,architecture n.,
374,archive,書庫、記録保管所、文書館,16,C1,,,,,,,,,pending,archive n.,
375,ardour,気勢、血気、熱意,32,C2,,,,,,,,,pending,ardour (n),
376,arduous,大儀、アージュアス,32,C2,,,,,,,,,pending,arduous (adj),
377,area,区域,1,A1,,,,,,,,,pending,area n.,
378,arena,闘技場、競技場、場,16,C1,,,,,,,,,pending,arena n.,
379,arguably,おそらく、議論の余地はあるが,32,C2,,,,,,,,,pending,arguably (adv),
380,argue,掛ける、争う、渡り合う,2,A2,,,,,,,,,pending,argue v.,
381,argument,引数、議論、喧嘩,2,A2,,,,,,,,,pending,argument n.,
382,arise,生じる、生ずる、湧き上がる,8,B2,,,,,,,,,pending,arise v.,
383,arm,科、手、足,16,C1,,,,,,,,,pending,arm v.,
384,arm,腕,1,A1,,,,,,,,,pending,arm n.,
385,armed,武装した,8,B2,,,,,,,,,pending,armed adj.,
386,armistice,休戦、停戦、偃武,32,C2,,,,,,,,,pending,armistice (n),
387,arms,科、手、足,8,B2,,,,,,,,,pending,arms n.,
388,army,軍、軍旅、方面隊,2,A2,,,,,,,,,pending,army n.,
389,around,〜の周りに、およそ,1,A1,,,,,,,,,pending,"around prep., adv.",
390,arrange,遇う、計らう、決める,2,A2,,,,,,,,,pending,arrange v.,
391,arrangement,協定、計らい、手配,2,A2,,,,,,,,,pending,arrangement n.,
392,array,勢揃い、斉列、配列,16,C1,,,,,,,,,pending,array n.,
393,arrest,引致、検挙、検束,4,B1,,,,,,,,,pending,"arrest v., n.",
394,arrival,降臨、参着、出現,4,B1,,,,,,,,,pending,arrival n.,
395,arrive,到着する,1,A1,,,,,,,,,pending,arrive v.,
396,arrogance,不遜、傍若無人、倨傲,32,C2,,,,,,,,,pending,arrogance (n),
397,arrow,一矢、矢、矢印,8,B2,,,,,,,,,pending,arrow n.,
398,art,芸術,1,A1,,,,,,,,,pending,art n.,
399,article,記事,1,A1,,,,,,,,,pending,article n.,
400,articulate,明瞭、平明達意、体節動物,16,C1,,,,,,,,,pending,articulate v.,
401,artifice,企み、細工、策謀,32,C2,,,,,,,,,pending,artifice (n),
402,artificial,人為的、人工的、不自然,8,B2,,,,,,,,,pending,artificial adj.,
403,artisan,工匠、匠、職工,32,C2,,,,,,,,,pending,artisan (n),
404,artist,芸術家,1,A1,,,,,,,,,pending,artist n.,
405,artistic,芸術的、美術的、アーティスティック,8,B2,,,,,,,,,pending,artistic adj.,
406,artwork,芸術作品、版下、アートワーク,8,B2,,,,,,,,,pending,artwork n.,
407,as,〜として、〜のように,1,A1,,,,,,,,,pending,as prep.,
408,as,〜として、〜のように,2,A2,,,,,,,,,pending,"as adv., conj.",
409,ascendancy,制圧、優位,32,C2,,,,,,,,,pending,ascendancy (n),
410,ascertain,確かめる、見極める、突き止める,32,C2,,,,,,,,,pending,ascertain (v),
411,ash,灰、灰分、灰燼,16,C1,,,,,,,,,pending,ash n.,
412,ashamed,汗顔、恥ずかしい、忸怩,8,B2,,,,,,,,,pending,ashamed adj.,
413,aside,横、挿話、脇,8,B2,,,,,,,,,pending,aside adv.,
414,ask,尋ねる、頼む,1,A1,,,,,,,,,pending,ask v.,
415,asleep,寝込み、夢寐,2,A2,,,,,,,,,pending,asleep adj.,
416,aspect,向き、事相、趣,8,B2,,,,,,,,,pending,aspect n.,
417,aspersion,中傷、悪口,32,C2,,,,,,,,,pending,aspersion (n),
418,aspiration,希求、希望、吸引,16,C1,,,,,,,,,pending,aspiration n.,
419,aspire,熱望する、志す,16,C1,,,,,,,,,pending,aspire v.,
420,assassination,暗殺、暗殺事件、人斬り,16,C1,,,,,,,,,pending,assassination n.,
421,assault,加害、急襲、攻める,16,C1,,,,,,,,,pending,"assault n., v.",
422,assemble,固まる、集う、集まる,16,C1,,,,,,,,,pending,assemble v.,
423,assembly,会、会議、会合,16,C1,,,,,,,,,pending,assembly n.,
424,assert,言い切る、言い張る、言い放つ,16,C1,,,,,,,,,pending,assert v.,
